"externalid","limitname","max_value","remaining_value","eventdate"
"142a2d14-0f30-4c73-a013-fda27f5af23e","DailyBulkApiBatches",15000,7383,2021-06-24 08:13:37
f6e2be2b-39fa-48aa-a8c8-e361bf17813e,"DailyBulkApiBatches",15000,7504,2021-06-24 09:14:10
"3abd0c9f-73e5-4117-b78b-4b16b60d8edb","DailyBulkApiBatches",15000,7623,2021-06-24 10:14:36
"45c1d10c-f9c4-43fb-a79d-e09987a1a95c","DailyBulkApiBatches",15000,7761,2021-06-24 11:11:34
"6f4c7d13-30a9-4a99-95e0-34f9f6c5c4a9","DailyBulkApiBatches",15000,7801,2021-06-24 12:13:35
"677f411b-3fa2-4a0b-922a-5a12f840cc96","DailyBulkApiBatches",15000,7821,2021-06-24 13:11:17
"24622aa9-eab4-4f0a-ac49-5ad80d578817","DailyBulkApiBatches",15000,7793,2021-06-24 14:14:27
"1cc150eb-0dc9-4d88-b5ab-622f8262c143","DailyBulkApiBatches",15000,7803,2021-06-24 15:13:42
"766e4d5d-b79d-4b17-90cc-d5f74671594f","DailyBulkApiBatches",15000,7800,2021-06-24 16:13:49
"7634094c-58d5-4508-a530-e705dca4cabd","DailyBulkApiBatches",15000,7819,2021-06-24 17:11:34
bf278c0e-a0d9-4950-a31b-19492247b970,"DailyBulkApiBatches",15000,7815,2021-06-24 18:12:06
"172a086d-eded-40da-a043-6c47a4075dc5","DailyBulkApiBatches",15000,7800,2021-06-24 19:13:20
fb4219b1-560f-4657-8929-a5bd46817f44,"DailyBulkApiBatches",15000,7801,2021-06-24 20:13:12
"4b026ead-49c9-45f0-9cfb-9744c9507f23","DailyBulkApiBatches",15000,7799,2021-06-24 21:13:18
"80ced5b5-38e8-4c5c-b3fe-c8a8fd172d1c","DailyBulkApiBatches",15000,7808,2021-06-24 22:12:21
edcf7436-1b78-494d-ba88-8557410a0fde,"DailyBulkApiBatches",15000,7799,2021-06-24 23:14:02
b028f992-0a15-4765-8d24-519affa65c76,"DailyBulkApiBatches",15000,7791,2021-06-25 00:16:09
f47c1fea-fadd-43c9-bd01-09b34cc7161e,"DailyBulkApiBatches",15000,7795,2021-06-25 01:13:39
c37c6c4b-7cbf-425e-b75c-7fe084a838c6,"DailyBulkApiBatches",15000,7695,2021-06-25 02:14:02
"95315028-6854-4cb8-bb0d-6681c0abc605","DailyBulkApiBatches",15000,4935,2021-06-20 23:00:10
dcd57cbb-34ab-4339-ba4b-98e10049791b,"DailyBulkApiBatches",15000,4855,2021-06-21 00:00:10
dcd57cbb-34ab-4339-ba4b-98e10049791a,"DailyBulkApiBatches",15000,4755,2021-06-21 01:00:10
"1e7fd73d-d4b2-46b1-bd12-1290fcef3cb7","DailyBulkApiBatches",15000,4819,2021-06-21 04:13:36
"3c691b6f-9b8a-46d0-92c5-579619356cf9","DailyBulkApiBatches",15000,4701,2021-06-21 06:14:00
"5ffcf145-d948-499b-951a-c2b58453ac05","DailyBulkApiBatches",15000,4640,2021-06-21 07:13:59
a37c2b78-bb6f-4fbc-9d0a-173fd9ffe195,"DailyBulkApiBatches",15000,4576,2021-06-21 08:14:37
"1542a559-f947-43ae-abd5-4fc27f6f318e","DailyBulkApiBatches",15000,4528,2021-06-21 09:14:08
e578c519-c975-49c6-b1b6-d1aa989cadb2,"DailyBulkApiBatches",15000,4455,2021-06-21 10:14:36
"84f11e98-e2c1-426c-b49f-3e62ab453056","DailyBulkApiBatches",15000,4417,2021-06-21 12:14:05
"73d87a8d-d609-49dd-9eb3-ee0c48c1d0ab","DailyBulkApiBatches",15000,4482,2021-06-21 13:14:33
"525ebf6f-d7dc-4d7f-9a94-a7c50e59b127","DailyBulkApiBatches",15000,4573,2021-06-21 15:14:15
b20f6d02-eab2-4c9a-9ea9-19f2650e8d3d,"DailyBulkApiBatches",15000,4691,2021-06-21 17:14:12
c11141ab-4aaa-443a-b39b-76e04ea93173,"DailyBulkApiBatches",15000,4753,2021-06-21 18:14:05
"1d96120a-4003-4456-b5ea-ae36b46c4e82","DailyBulkApiBatches",15000,4892,2021-06-21 20:11:37
d5205214-53e8-41bf-8116-e683c73b3de8,"DailyBulkApiBatches",15000,4982,2021-06-21 22:14:04
"487d8db7-da1a-4bb9-b7ef-3be6c831e6af","DailyBulkApiBatches",15000,5057,2021-06-21 23:13:05
"065f0ab3-5884-4125-91d4-ba8a55de16e7","DailyBulkApiBatches",15000,5099,2021-06-22 00:16:21
"1bf23d59-75cd-43ad-b9f8-1e7112e7e5b0","DailyBulkApiBatches",15000,5169,2021-06-22 01:14:06
"2c9cca80-f255-4c6d-900d-9ea426b915bf","DailyBulkApiBatches",15000,5244,2021-06-22 03:13:46
"4d47edd2-68bf-42fb-a6cf-d71523b145c9","DailyBulkApiBatches",15000,15000,2021-06-13 16:13:44
"20395055-8225-44b3-8a88-7b68262c4dd7","DailyBulkApiBatches",15000,15000,2021-06-13 17:13:33
"97d8358c-b35d-4a5e-841d-cce114edf76b","DailyBulkApiBatches",15000,15000,2021-06-13 18:11:16
fb93c85a-338f-4140-b0fe-0eae5a414cf1,"DailyBulkApiBatches",15000,15000,2021-06-13 19:11:55
"33b75eb9-8a5e-40b5-ac8f-5f25555db269","DailyBulkApiBatches",15000,15000,2021-06-13 20:13:44
ebd04d35-617f-44dd-b014-c21f858e9e02,"DailyBulkApiBatches",15000,14917,2021-06-13 21:12:04
"3432f512-6cee-4f5c-97b8-320567772d55","DailyBulkApiBatches",15000,14796,2021-06-13 22:13:47
"313a88af-23b1-4963-ba1d-c268733871c3","DailyBulkApiBatches",15000,14676,2021-06-13 23:13:20
"504e7470-217e-48a5-aae6-850d6a7a3420","DailyBulkApiBatches",15000,14564,2021-06-14 00:11:41
"585f7d37-b33f-46f6-9351-4857d3de635b","DailyBulkApiBatches",15000,14436,2021-06-14 01:14:37
fd4a9da1-2a89-424e-880f-e7a33f0e8e0e,"DailyBulkApiBatches",15000,14306,2021-06-14 02:13:28
"5a22fa9c-ccb8-4429-906d-127c649529db","DailyBulkApiBatches",15000,14081,2021-06-14 03:11:20
d7aea4ee-ba87-48a4-9dc1-8ddad7fd75a7,"DailyBulkApiBatches",15000,13826,2021-06-14 04:14:34
"7e171c06-cbfd-498e-83f1-6487f82b068f","DailyBulkApiBatches",15000,13586,2021-06-14 05:14:25
eef904ad-ad5f-430a-8d56-0dab478078d0,"DailyBulkApiBatches",15000,13346,2021-06-14 06:14:13
"72158f85-0c62-4ac4-b892-c8f58c00cba9","DailyBulkApiBatches",15000,13106,2021-06-14 07:13:51
c1c182d1-f783-4abb-abcc-aaac357d25f8,"DailyBulkApiBatches",15000,12866,2021-06-14 08:14:32
"80047f2a-0941-4dce-8321-e28bcc52fb48","DailyBulkApiBatches",15000,12626,2021-06-14 09:14:22
"8b6b1595-cc86-4f84-88f8-8c35c91d7417","DailyBulkApiBatches",15000,12386,2021-06-14 10:14:35
"006e1996-4457-4215-987d-fa9ae5332a41","DailyBulkApiBatches",15000,12146,2021-06-14 11:13:55
"266a6f59-af50-4ab8-8119-0fbbc25e96bc","DailyBulkApiBatches",15000,11928,2021-06-14 12:14:19
"55d0718c-a8df-4847-add2-13f710465805","DailyBulkApiBatches",15000,11704,2021-06-14 13:11:06
"57e5c1d0-9820-4f0f-af13-678e33da39c6","DailyBulkApiBatches",15000,11446,2021-06-14 14:14:13
"853573d3-5d8a-47fe-9bfc-f3f3dc6f8c20","DailyBulkApiBatches",15000,11230,2021-06-14 15:14:14
fbbad357-d228-490c-a237-c471164395c2,"DailyBulkApiBatches",15000,11026,2021-06-14 16:14:46
"0eb9b9d6-01d0-4ee7-95f3-e0dbabfc4674","DailyBulkApiBatches",15000,10826,2021-06-14 17:13:33
b14f791c-a32f-4c22-a442-f12e7b77cb3d,"DailyBulkApiBatches",15000,10613,2021-06-14 18:13:53
"0a3980f7-3fe5-4959-bde7-112a69872b7c","DailyBulkApiBatches",15000,10411,2021-06-14 19:13:30
d29c9350-7f64-4ce0-bb46-a9502655671b,"DailyBulkApiBatches",15000,10220,2021-06-14 20:14:02
"605e7527-99a9-44da-9083-e7f5d26489d7","DailyBulkApiBatches",15000,10100,2021-06-14 21:13:54
"6285ba65-e08d-4785-a33a-f633f63671b3","DailyBulkApiBatches",15000,9981,2021-06-14 22:13:25
"10c46014-4081-4772-834b-59467d7c5803","DailyBulkApiBatches",15000,9871,2021-06-14 23:12:15
"69c5bd09-8e76-4822-abcc-eedb918c1038","DailyBulkApiBatches",15000,9732,2021-06-15 00:16:39
db0d4fe4-0ef7-45be-abf2-d275c4ccf488,"DailyBulkApiBatches",15000,9624,2021-06-15 01:12:25
"85daf782-99a8-4fab-b608-3c28b580012f","DailyBulkApiBatches",15000,9601,2021-06-15 02:13:31
"1a1bb26c-5bb3-48dd-92b2-f9cf582fa04f","DailyBulkApiBatches",15000,9491,2021-06-15 03:13:46
c24f7b02-ba90-40bd-b6fd-6af7b8c73867,"DailyBulkApiBatches",15000,9420,2021-06-15 04:13:21
"13401168-7e27-42ef-b26e-2df3a8e6356c","DailyBulkApiBatches",15000,9349,2021-06-15 05:13:21
a73bbfb1-8731-4e5d-8e45-87b9aa5fe778,"DailyBulkApiBatches",15000,9251,2021-06-15 06:14:13
"9bb76254-1c22-4112-a4f7-c77c3fb0a245","DailyBulkApiBatches",15000,9128,2021-06-15 07:14:55
"08fb11f4-2aab-472c-8fbc-bbc284550e4e","DailyBulkApiBatches",15000,9054,2021-06-15 08:12:30
"34a1b8c7-b0e7-4ef8-8ced-8e7551cddfd6","DailyBulkApiBatches",15000,8922,2021-06-15 09:13:33
"0f22d2f1-dd99-4aee-8187-b7bfa4228170","DailyBulkApiBatches",15000,8793,2021-06-15 10:14:28
dcc12ad1-3777-4fd2-a32f-dd51c27a58a3,"DailyBulkApiBatches",15000,8673,2021-06-15 11:14:02
"0e742c4b-2a08-4588-9295-f89f056a43f7","DailyBulkApiBatches",15000,8535,2021-06-15 12:13:36
ae0731d5-cb2d-4f43-91dc-34131fa303df,"DailyBulkApiBatches",15000,8417,2021-06-15 13:14:01
fb65c37c-e9ed-45fc-a507-1ae8229c0f89,"DailyBulkApiBatches",15000,8273,2021-06-15 14:14:49
"4f6a43af-9029-4f70-88e5-225818ce357c","DailyBulkApiBatches",15000,8117,2021-06-15 15:14:05
dab9cfb5-b3cc-433a-9d8d-10453bcab076,"DailyBulkApiBatches",15000,7975,2021-06-15 16:14:37
bf261773-7937-42ad-94eb-35d88e13270c,"DailyBulkApiBatches",15000,7851,2021-06-15 17:13:36
"2e3c6e26-0781-41c5-9435-ec968b20fa87","DailyBulkApiBatches",15000,7748,2021-06-15 18:13:13
"7e08e4c2-fbe8-4b9d-8743-6d505d5d07ea","DailyBulkApiBatches",15000,7716,2021-06-15 19:13:33
"9eac6b66-8e4a-4d1e-b558-dd5e4ec2e5b1","DailyBulkApiBatches",15000,7664,2021-06-15 20:12:57
"2b4a9100-c97f-4994-b0b3-9f4471ac7d59","DailyBulkApiBatches",15000,7612,2021-06-15 21:13:39
"6b58fc52-7765-4b5d-8cf1-a8d0ce0c67a9","DailyBulkApiBatches",15000,7552,2021-06-15 22:14:07
"0f18a1be-149c-4074-8518-fe16a4e25946","DailyBulkApiBatches",15000,7504,2021-06-15 23:14:29
"04477454-4fea-4fcd-afbb-be1e1a0e77f9","DailyBulkApiBatches",15000,7450,2021-06-16 00:16:18
"9b25cec2-67fe-4410-bde9-869f37974d50","DailyBulkApiBatches",15000,7408,2021-06-16 01:13:46
"20918cf9-a969-4b4c-b49e-173ab14d8793","DailyBulkApiBatches",15000,9366,2021-06-16 02:14:52
"81fe9d37-a4d0-4d81-831b-6012b64eec92","DailyBulkApiBatches",15000,9301,2021-06-16 03:13:48
"103b2ca5-5068-4246-9da8-5d91b7252676","DailyBulkApiBatches",15000,9165,2021-06-16 05:13:46
d8de77a3-5cfe-41bd-a8d7-d98d3943ec70,"DailyBulkApiBatches",15000,9406,2021-06-16 06:14:09
"78157536-b619-4acb-8248-ca09537b755d","DailyBulkApiBatches",15000,9641,2021-06-16 07:11:37
